"Name","Size","Objects"
"java.util.ArrayList.add(Object)","72024","1"
"SQL.Items.loadTemplate(int, String)","25712","501"
"com.mysql.jdbc.MysqlIO.getResultSet(StatementImpl, long, int, int, int, boolean, String, boolean, Field[])","24328","558"
"org.apache.mina.transport.socket.nio.NioSocketAcceptor.<init>(int)","20016","110"
"com.mysql.jdbc.ResultSetImpl.buildIndexMapping()","19688","509"
"Game.GServer.<init>(GConfig)","18392","464"
"com.mysql.jdbc.MysqlIO.readSingleRowSet(long, int, int, boolean, Field[])","12248","443"
"SQL.Others.loadXP(String, GWorld)","12016","347"
"com.mysql.jdbc.MysqlIO.nextRowFast(Field[], int, boolean, int, boolean, boolean, boolean)","11800","430"
"com.mysql.jdbc.Field.getStringFromBytes(int, int)","9416","271"
"com.mysql.jdbc.MysqlIO.unpackField(Buffer, boolean)","6624","46"
"java.util.TreeMap.put(Object, Object)","5520","138"
"java.lang.String.<init>(byte[], String)","5096","136"
"GameObjects.GPersonnage.onSelected(GClient)","5008","91"
"java.lang.StringBuffer.toString()","4224","89"
"com.mysql.jdbc.MysqlIO.readPacket()","3992","48"
"Handlers.LAuthentificationHandler.parse(LClient, String)","3792","39"
