"Name","Objects (+/-)","Size (+/-)"
"java.lang.Integer","2444","39104"
"java.util.HashMap$Entry","1246","39872"
"char[]","93","7544"
"java.lang.String","91","2912"
"java.util.concurrent.ConcurrentHashMap$HashEntry[]","32","768"
"java.util.concurrent.ConcurrentHashMap$Segment","32","1280"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","32","1024"
"java.lang.Object[]","27","1264"
"java.lang.Class","17","11752"
"GameObjects.GItem","16","512"
"java.util.HashMap","16","768"
"java.util.HashMap$Entry[]","16","9440"
"GameObjects.GEffect","15","360"
"byte[]","14","744"
"java.util.ArrayList","14","336"
"java.lang.Object","13","208"
"java.util.Vector","10","320"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","9","288"
"Misc.Jet","9","144"
"int[]","7","744"
"java.util.concurrent.atomic.AtomicInteger","7","112"
"java.util.HashSet","7","112"
"com.mysql.jdbc.Field","6","864"
"Misc.Dice","6","144"
"java.lang.ref.SoftReference","5","200"
"java.util.Hashtable","5","240"
"java.util.Hashtable$Entry[]","5","320"
"sun.reflect.DelegatingClassLoader","5","280"
"sun.reflect.DelegatingMethodAccessorImpl","5","80"
"java.lang.String[]","4","120"
"boolean[]","3","72"
"GameObjects.GInventory","3","48"
"GameObjects.GPersonnage","3","192"
"java.lang.ThreadLocal$ThreadLocalMap","3","72"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","3","240"
"java.util.concurrent.ConcurrentLinkedQueue","3","72"
"java.util.concurrent.ConcurrentLinkedQueue$Node","3","72"
"java.util.Stack","3","96"
"long[]","3","96"
"org.apache.mina.core.filterchain.DefaultIoFilterChain$EntryImpl","3","120"
"org.apache.mina.core.filterchain.DefaultIoFilterChain$EntryImpl$1","3","72"
"short[]","3","72"
"com.mysql.jdbc.Field[]","2","64"
"com.mysql.jdbc.JDBC4ResultSet","2","352"
"com.mysql.jdbc.RowDataStatic","2","64"
"com.mysql.jdbc.StatementImpl","2","304"
"java.io.ExpiringCache$Entry","2","48"
"java.net.Inet4Address","2","64"
"java.net.InetSocketAddress","2","32"
"java.net.InetSocketAddress$InetSocketAddressHolder","2","48"
"java.util.concurrent.ConcurrentHashMap","2","96"
"java.util.concurrent.ConcurrentHashMap$HashEntry","2","64"
"java.util.concurrent.ConcurrentHashMap$Segment[]","2","160"
"java.util.LinkedHashMap$Entry","2","80"
"com.yourkit.util.Strings$1","1","16"
"Game.GClient","1","32"
"GameObjects.GPersonnage[]","1","32"
"GameObjects.GStatistiques","1","24"
"java.io.FileDescriptor","1","24"
"java.lang.Short","1","16"
"java.lang.Thread","1","112"
"java.net.SocksSocketImpl","1","112"
"java.nio.channels.SelectionKey[]","1","32"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","1","16"
"java.nio.HeapByteBuffer","1","48"
"java.util.Collections$UnmodifiableSet","1","16"
"java.util.concurrent.atomic.AtomicBoolean","1","16"
"java.util.concurrent.ThreadPoolExecutor$Worker","1","48"
"java.util.HashMap$EntrySet","1","16"
"java.util.TreeMap$KeySet","1","16"
"LoginObjects.LAccount","1","56"
"org.apache.mina.core.buffer.SimpleBufferAllocator$SimpleBuffer","1","32"
"org.apache.mina.core.filterchain.DefaultIoFilterChain","1","32"
"org.apache.mina.core.filterchain.DefaultIoFilterChain$HeadFilter","1","16"
"org.apache.mina.core.filterchain.DefaultIoFilterChain$TailFilter","1","16"
"org.apache.mina.core.future.DefaultCloseFuture","1","40"
"org.apache.mina.core.polling.AbstractPollingIoProcessor$Processor","1","16"
"org.apache.mina.core.session.AbstractIoSession$CloseAwareWriteQueue","1","24"
"org.apache.mina.core.session.DefaultIoSessionDataStructureFactory$DefaultIoSessionAttributeMap","1","16"
"org.apache.mina.core.session.DefaultIoSessionDataStructureFactory$DefaultWriteRequestQueue","1","16"
"org.apache.mina.filter.codec.ProtocolCodecFilter$ProtocolDecoderOutputImpl","1","16"
"org.apache.mina.filter.codec.ProtocolCodecFilter$ProtocolEncoderOutputImpl","1","32"
"org.apache.mina.filter.codec.textline.TextLineDecoder$Context","1","32"
"org.apache.mina.transport.socket.nio.NioSocketSession","1","248"
"org.apache.mina.transport.socket.nio.NioSocketSession$SessionConfigImpl","1","56"
"org.apache.mina.util.NamePreservingRunnable","1","24"
"org.jdom.Attribute","1","32"
"sun.nio.ch.SelectionKeyImpl","1","40"
"sun.nio.ch.SocketAdaptor","1","48"
"sun.nio.ch.SocketChannelImpl","1","112"
"sun.nio.cs.UTF_8$Decoder","1","40"
"sun.nio.cs.UTF_8$Encoder","1","48"
"sun.reflect.GeneratedMethodAccessor1","1","16"
"sun.reflect.GeneratedMethodAccessor2","1","16"
"sun.reflect.GeneratedMethodAccessor3","1","16"
"sun.reflect.GeneratedMethodAccessor4","1","16"
"sun.reflect.GeneratedMethodAccessor5","1","16"
"java.util.WeakHashMap$Entry[]","0","8128"
"java.util.WeakHashMap$Entry","-1","-40"
"java.util.ResourceBundle$BundleReference","-6","-288"
"java.util.ResourceBundle$CacheKey","-6","-336"
"java.util.ResourceBundle$LoaderReference","-6","-192"
"java.nio.DirectByteBuffer","-18","-1152"
"java.nio.DirectByteBuffer$Deallocator","-18","-432"
"sun.misc.Cleaner","-18","-720"
